,precision,recall,f1-score,support
0,0.873015873015873,0.7971014492753623,0.8333333333333334,69.0
1,0.631578947368421,0.75,0.6857142857142857,32.0
accuracy,0.7821782178217822,0.7821782178217822,0.7821782178217822,0.7821782178217822
macro avg,0.752297410192147,0.7735507246376812,0.7595238095238095,101.0
weighted avg,0.7965210054840072,0.7821782178217822,0.7865629420084866,101.0
