Gene_ID
206552_s_at
242415_at
243361_at
223355_at
234367_x_at
236049_at
231360_at
230832_at
210617_at
216738_at
239226_at
239013_at
220593_s_at
230991_at
209828_s_at
219554_at
200718_s_at
236625_at
218630_at
201512_s_at
232532_at
206485_at
211887_x_at
211845_at
241215_at
218720_x_at
220358_at
237114_at
227669_at
237041_x_at
222075_s_at
228298_at
211407_at
231046_at
211619_s_at
202265_at
234342_at
1558620_at
225963_at
202737_s_at
241087_at
240643_at
205086_s_at
1554007_at
238687_x_at
220070_at
244604_at
208455_at
233367_at
219422_at
206227_at
216739_at
232147_at
205504_at
221954_at
236778_at
230125_at
234638_at
226197_at
209796_s_at
218609_s_at
240375_at
202614_at
232692_at
234227_at
244062_at
222768_s_at
210151_s_at
216779_at
212833_at
220872_at
211318_s_at
204256_at
234781_at
211190_x_at
239263_at
214580_x_at
225770_at
233511_at
216646_at
216490_x_at
239089_at
214440_at
222473_s_at
217389_s_at
213729_at
1562906_at
206718_at
204854_at
1569332_at
207777_s_at
207488_at
213442_x_at
1570568_at
205387_s_at
242632_at
201570_at
1558679_at
220904_at
236977_at
214399_s_at
202121_s_at
244196_at
237641_at
202239_at
215765_at
217557_s_at
228676_at
1555198_x_at
226410_at
238086_at
242180_at
232386_at
211910_at
230460_at
201402_at
224687_at
224672_x_at
231564_at
1556771_a_at
1552596_at
203812_at
244095_at
237703_at
216297_at
229516_at
216530_at
205831_at
203610_s_at
1569478_s_at
235856_at
202517_at
208845_at
1553959_a_at
217109_at
214458_at
244652_at
216418_at
235753_at
223729_at
228975_at
232007_at
1558695_at
243699_at
1569723_a_at
209208_at
233169_at
239252_at
242421_at
240537_s_at
1557453_at
205224_at
1568691_at
208492_at
228016_s_at
214306_at
208260_at
222234_s_at
205111_s_at
211411_at
234109_x_at
221880_s_at
216928_at
209797_at
209224_s_at
1562792_at
235020_at
200786_at
232576_at
221509_at
228163_at
204134_at
225769_at
212425_at
208038_at
1553418_a_at
1565795_at
224588_at
1570408_at
204441_s_at
243276_at
222178_s_at
205075_at
228583_at
218138_at
210811_s_at
206509_at
1564658_at
227343_at
1554571_at
200811_at
1562351_at
238052_at
241053_at
214218_s_at
218994_s_at
222022_at
231691_at
219845_at
207383_s_at
